,Geo_FIPS,Census Tract #,Median Contract Rent,Median Monthly Housing Costs,Total Renter Housing Units,"less than $20,000","20,000 to 34,999","35,000 To 49,999","50,000 To 74,999","less than 20,000 proportion","20,000 to 34,999 proportion","35,000 To 49,999 proportion","50,000 To 74,999 proportion",STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry,Housing Burden Index
1097,06037402102,Census Tract 4021.02,1345.0,1600.0,422,86,45,52,55,0.2037914691943128,0.1066350710900474,0.12322274881516587,0.13033175355450238,06,037,402102,1400000US06037402102,06037402102,4021.02,CT,2285871,12302,"POLYGON ((-117.752899 34.082653, -117.750305 34.087986, -117.748695 34.091536999999995, -117.748573 34.094017, -117.736782 34.093990999999995, -117.736816 34.088783, -117.737244 34.087112, -117.74056999999999 34.080311, -117.741582 34.078153, -117.752228 34.073789999999995, -117.752426 34.078514, -117.752693 34.080734, -117.752899 34.082653))",18.3
1098,06037402200,Census Tract 4022,1336.0,1733.0,571,51,134,0,66,0.0893169877408056,0.23467600700525393,0.0,0.11558669001751314,06,037,402200,1400000US06037402200,06037402200,4022,CT,5673587,0,"POLYGON ((-117.786774 34.074200000000005, -117.786278 34.074734, -117.78472099999999 34.075825, -117.781303 34.076965, -117.77964 34.079048, -117.777222 34.080845, -117.773392 34.081829, -117.772682 34.082671999999995, -117.773933 34.083435, -117.77681 34.086166, -117.772133 34.092541, -117.770241 34.095127, -117.769925 34.095848, -117.766321 34.093635, -117.764412 34.089779, -117.762106 34.092814, -117.756134 34.089966, -117.756126 34.094282, -117.753971 34.094052, -117.748573 34.094017, -117.748695 34.091536999999995, -117.750305 34.087986, -117.752899 34.082653, -117.752693 34.080734, -117.752426 34.078514, -117.752228 34.073789999999995, -117.755051 34.072632, -117.759355 34.071156, -117.763514 34.070806, -117.769256 34.07166, -117.775063 34.072586, -117.77837099999999 34.072811, -117.787579 34.072708, -117.786774 34.074200000000005))",18.1
1099,06037402301,Census Tract 4023.01,1402.0,1533.0,702,63,193,63,113,0.08974358974358974,0.27492877492877493,0.08974358974358974,0.16096866096866097,06,037,402301,1400000US06037402301,06037402301,4023.01,CT,1331437,0,"POLYGON ((-117.77837099999999 34.072811, -117.775063 34.072586, -117.769256 34.07166, -117.763514 34.070806, -117.759355 34.071156, -117.759338 34.070586999999996, -117.761551 34.068714, -117.761528 34.067969999999995, -117.761391 34.064163, -117.776756 34.063786, -117.777 34.064907, -117.777534 34.066658, -117.778847 34.071163, -117.77837099999999 34.072811))",15.1
1100,06037402303,Census Tract 4023.03,1009.0,1240.0,700,96,152,121,68,0.13714285714285715,0.21714285714285714,0.17285714285714285,0.09714285714285714,06,037,402303,1400000US06037402303,06037402303,4023.03,CT,944282,0,"POLYGON ((-117.761551 34.068714, -117.759338 34.070586999999996, -117.759355 34.071156, -117.755051 34.072632, -117.752228 34.073789999999995, -117.75209 34.069733, -117.75200699999999 34.067627, -117.750351 34.063496, -117.750313 34.062377999999995, -117.754662 34.062267, -117.759041 34.06216, -117.75910999999999 34.06422, -117.761391 34.064163, -117.761528 34.067969999999995, -117.761551 34.068714))",26.3
1101,06037402304,Census Tract 4023.04,962.0,1077.0,640,143,151,77,22,0.2234375,0.2359375,0.1203125,0.034375,06,037,402304,1400000US06037402304,06037402304,4023.04,CT,697362,0,"POLYGON ((-117.776756 34.063786, -117.761391 34.064163, -117.75910999999999 34.06422, -117.759041 34.06216, -117.758972 34.060337, -117.758907 34.058592, -117.76765499999999 34.05838, -117.767944 34.058899, -117.767815 34.061946999999996, -117.77668 34.061718, -117.776756 34.063786))",30.2
1102,06037402402,Census Tract 4024.02,1681.0,1777.0,1024,39,123,315,135,0.0380859375,0.1201171875,0.3076171875,0.1318359375,06,037,402402,1400000US06037402402,06037402402,4024.02,CT,5341363,7116,"POLYGON ((-117.81201300000001 34.048386, -117.806955 34.054596, -117.803698 34.056578, -117.801568 34.05732, -117.800181 34.057609, -117.793716 34.058116999999996, -117.795601 34.061256, -117.797202 34.063958, -117.797838 34.065051, -117.793965 34.063724, -117.791629 34.062889999999996, -117.787542 34.061710999999995, -117.786767 34.061464, -117.77668 34.061718, -117.767815 34.061946999999996, -117.767944 34.058899, -117.76765499999999 34.05838, -117.769783 34.057339, -117.769691 34.054618999999995, -117.773544 34.05444, -117.772491 34.050906999999995, -117.771935 34.049046, -117.77181999999999 34.046257, -117.773522 34.046197, -117.77548999999999 34.046352, -117.777283 34.047638, -117.781013 34.047077, -117.786675 34.047503999999996, -117.79261 34.050911, -117.795433 34.049057, -117.79592099999999 34.048019, -117.79600500000001 34.045006, -117.798119 34.040512, -117.801631 34.042876, -117.801627 34.044271, -117.802834 34.045486, -117.804039 34.046206999999995, -117.808556 34.047149999999995, -117.81201300000001 34.048386))",24.7
1103,06037402403,Census Tract 4024.03,938.0,1397.0,147,23,40,0,0,0.1564625850340136,0.272108843537415,0.0,0.0,06,037,402403,1400000US06037402403,06037402403,4024.03,CT,2032376,0,"POLYGON ((-117.82793699999999 34.039038999999995, -117.826542 34.041533, -117.824788 34.04468, -117.821556 34.050494, -117.818405 34.050464999999996, -117.816185 34.050045, -117.814178 34.052921999999995, -117.80890099999999 34.058085, -117.807959 34.058529, -117.80758 34.05864, -117.806912 34.058865, -117.805592 34.059267999999996, -117.802685 34.060255999999995, -117.797202 34.063958, -117.795601 34.061256, -117.793716 34.058116999999996, -117.800181 34.057609, -117.801568 34.05732, -117.803698 34.056578, -117.806955 34.054596, -117.81201300000001 34.048386, -117.815956 34.043811999999996, -117.824127 34.037891, -117.82481 34.036619, -117.825101 34.036626999999996, -117.824606 34.037614999999995, -117.828719 34.037627, -117.82793699999999 34.039038999999995))",18.2
1104,06037402404,Census Tract 4024.04,,,5,0,0,0,0,0.0,0.0,0.0,0.0,06,037,402404,1400000US06037402404,06037402404,4024.04,CT,4184010,8226,"POLYGON ((-117.834298 34.051356, -117.834119 34.054429, -117.829047 34.056619999999995, -117.829894 34.058282, -117.825032 34.060348, -117.826084 34.062405999999996, -117.826964 34.064219, -117.825791 34.064028, -117.818745 34.063658, -117.811775 34.063976, -117.809372 34.064395999999995, -117.80729600000001 34.065017, -117.805291 34.066193999999996, -117.804532 34.065991, -117.802836 34.066795, -117.797838 34.065051, -117.797202 34.063958, -117.802685 34.060255999999995, -117.805592 34.059267999999996, -117.806912 34.058865, -117.80758 34.05864, -117.807959 34.058529, -117.80890099999999 34.058085, -117.814178 34.052921999999995, -117.816185 34.050045, -117.818405 34.050464999999996, -117.821556 34.050494, -117.824788 34.04468, -117.826542 34.041533, -117.82793699999999 34.039038999999995, -117.828496 34.040967, -117.82865699999999 34.041567, -117.834193 34.040711, -117.834203 34.04701, -117.834298 34.051356))",
1105,06037402405,Census Tract 4024.05,1533.0,1597.0,155,15,57,0,26,0.0967741935483871,0.36774193548387096,0.0,0.16774193548387098,06,037,402405,1400000US06037402405,06037402405,4024.05,CT,900372,0,"POLYGON ((-117.802836 34.066795, -117.791435 34.071934, -117.787579 34.072708, -117.788651 34.06995, -117.787712 34.06707, -117.787567 34.063972, -117.787552 34.062675, -117.787542 34.061710999999995, -117.791629 34.062889999999996, -117.793965 34.063724, -117.797838 34.065051, -117.802836 34.066795))",18.1
1106,06037402406,Census Tract 4024.06,1019.0,1372.0,578,90,128,72,4,0.15570934256055363,0.22145328719723184,0.1245674740484429,0.006920415224913495,06,037,402406,1400000US06037402406,06037402406,4024.06,CT,1167576,0,"POLYGON ((-117.788651 34.06995, -117.787579 34.072708, -117.77837099999999 34.072811, -117.778847 34.071163, -117.777534 34.066658, -117.777 34.064907, -117.776756 34.063786, -117.77668 34.061718, -117.786767 34.061464, -117.787542 34.061710999999995, -117.787552 34.062675, -117.787567 34.063972, -117.787712 34.06707, -117.788651 34.06995))",21.8
