Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A10032_001,SE_A10032_002,SE_A10032_003,SE_A10032_004,SE_A10032_005,SE_A10032_006,SE_A10032_007,SE_A10032_008,SE_A10032_009,SE_A10032_010,SE_A10032_011,SE_A10032_012,PCT_SE_A10032_002,PCT_SE_A10032_003,PCT_SE_A10032_004,PCT_SE_A10032_005,PCT_SE_A10032_006,PCT_SE_A10032_007,PCT_SE_A10032_008,PCT_SE_A10032_009,PCT_SE_A10032_010,PCT_SE_A10032_011,PCT_SE_A10032_012
6037651302,14000US06037651302,Census Tract 6513.02,"Census Tract 6513.02, Los Angeles County, California",ca,140,0,ACSSF,5951,,,,,6,37,,,,651302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2535,2228,2141,87,50,0,18,0,56,183,0,0,87.89,84.46,3.43,1.97,0,0.71,0,2.21,7.22,0,0
6037651304,14000US06037651304,Census Tract 6513.04,"Census Tract 6513.04, Los Angeles County, California",ca,140,0,ACSSF,5952,,,,,6,37,,,,651304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2540,1171,1028,143,0,180,408,396,334,51,0,0,46.1,40.47,5.63,0,7.09,16.06,15.59,13.15,2.01,0,0
6037651401,14000US06037651401,Census Tract 6514.01,"Census Tract 6514.01, Los Angeles County, California",ca,140,0,ACSSF,5953,,,,,6,37,,,,651401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192,592,592,0,0,0,0,0,16,246,338,0,49.66,49.66,0,0,0,0,0,1.34,20.64,28.36,0
6037651402,14000US06037651402,Census Tract 6514.02,"Census Tract 6514.02, Los Angeles County, California",ca,140,0,ACSSF,5954,,,,,6,37,,,,651402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2338,1665,1540,125,130,105,36,178,84,134,6,0,71.21,65.87,5.35,5.56,4.49,1.54,7.61,3.59,5.73,0.26,0
6037670001,14000US06037670001,Census Tract 6700.01,"Census Tract 6700.01, Los Angeles County, California",ca,140,0,ACSSF,5955,,,,,6,37,,,,670001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373,936,885,51,10,20,22,107,36,0,232,10,68.17,64.46,3.71,0.73,1.46,1.6,7.79,2.62,0,16.9,0.73
6037670002,14000US06037670002,Census Tract 6700.02,"Census Tract 6700.02, Los Angeles County, California",ca,140,0,ACSSF,5956,,,,,6,37,,,,670002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1537,1014,950,64,6,14,140,69,100,160,9,25,65.97,61.81,4.16,0.39,0.91,9.11,4.49,6.51,10.41,0.59,1.63
6037670003,14000US06037670003,Census Tract 6700.03,"Census Tract 6700.03, Los Angeles County, California",ca,140,0,ACSSF,5957,,,,,6,37,,,,670003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2415,1716,1425,291,76,141,172,49,41,121,99,0,71.06,59.01,12.05,3.15,5.84,7.12,2.03,1.7,5.01,4.1,0
6037670100,14000US06037670100,Census Tract 6701,"Census Tract 6701, Los Angeles County, California",ca,140,0,ACSSF,5958,,,,,6,37,,,,670100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2853,1302,1050,252,38,53,236,390,498,236,60,40,45.64,36.8,8.83,1.33,1.86,8.27,13.67,17.46,8.27,2.1,1.4
6037670201,14000US06037670201,Census Tract 6702.01,"Census Tract 6702.01, Los Angeles County, California",ca,140,0,ACSSF,5959,,,,,6,37,,,,670201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1573,1193,1115,78,0,0,10,9,109,252,0,0,75.84,70.88,4.96,0,0,0.64,0.57,6.93,16.02,0,0
6037670202,14000US06037670202,Census Tract 6702.02,"Census Tract 6702.02, Los Angeles County, California",ca,140,0,ACSSF,5960,,,,,6,37,,,,670202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,915,915,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0
