Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008
6037432202,14000US06037432202,Census Tract 4322.02,"Census Tract 4322.02, Los Angeles County, California",ca,140,0,ACSSF,5174,,,,,6,37,,,,432202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4471,641,21,105,2601,0,1078,25,14.34,0.47,2.35,58.17,0,24.11,0.56
6037432300,14000US06037432300,Census Tract 4323,"Census Tract 4323, Los Angeles County, California",ca,140,0,ACSSF,5175,,,,,6,37,,,,432300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4350,1455,0,21,1672,307,804,91,33.45,0,0.48,38.44,7.06,18.48,2.09
6037432401,14000US06037432401,Census Tract 4324.01,"Census Tract 4324.01, Los Angeles County, California",ca,140,0,ACSSF,5176,,,,,6,37,,,,432401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3705,1301,18,13,1479,4,479,411,35.11,0.49,0.35,39.92,0.11,12.93,11.09
6037432402,14000US06037432402,Census Tract 4324.02,"Census Tract 4324.02, Los Angeles County, California",ca,140,0,ACSSF,5177,,,,,6,37,,,,432402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6938,1979,82,19,2576,7,1908,367,28.52,1.18,0.27,37.13,0.1,27.5,5.29
6037432500,14000US06037432500,Census Tract 4325,"Census Tract 4325, Los Angeles County, California",ca,140,0,ACSSF,5178,,,,,6,37,,,,432500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8180,3276,14,0,2614,51,1953,272,40.05,0.17,0,31.96,0.62,23.88,3.33
6037432601,14000US06037432601,Census Tract 4326.01,"Census Tract 4326.01, Los Angeles County, California",ca,140,0,ACSSF,5179,,,,,6,37,,,,432601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7210,2680,100,17,2773,0,1291,349,37.17,1.39,0.24,38.46,0,17.91,4.84
6037432602,14000US06037432602,Census Tract 4326.02,"Census Tract 4326.02, Los Angeles County, California",ca,140,0,ACSSF,5180,,,,,6,37,,,,432602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4852,1564,0,0,2050,10,1101,127,32.23,0,0,42.25,0.21,22.69,2.62
6037432700,14000US06037432700,Census Tract 4327,"Census Tract 4327, Los Angeles County, California",ca,140,0,ACSSF,5181,,,,,6,37,,,,432700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5779,3001,0,49,957,0,1365,407,51.93,0,0.85,16.56,0,23.62,7.04
6037432801,14000US06037432801,Census Tract 4328.01,"Census Tract 4328.01, Los Angeles County, California",ca,140,0,ACSSF,5182,,,,,6,37,,,,432801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2797,599,5,0,1330,0,653,210,21.42,0.18,0,47.55,0,23.35,7.51
6037432802,14000US06037432802,Census Tract 4328.02,"Census Tract 4328.02, Los Angeles County, California",ca,140,0,ACSSF,5183,,,,,6,37,,,,432802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5077,2376,0,0,1234,29,1315,123,46.8,0,0,24.31,0.57,25.9,2.42
