Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,ACS19_5yr_B25058001,ACS19_5yr_B25058001s,ACS19_5yr_B25105001,ACS19_5yr_B25105001s,ACS19_5yr_B25106001,ACS19_5yr_B25106002,ACS19_5yr_B25106003,ACS19_5yr_B25106004,ACS19_5yr_B25106005,ACS19_5yr_B25106006,ACS19_5yr_B25106007,ACS19_5yr_B25106008,ACS19_5yr_B25106009,ACS19_5yr_B25106010,ACS19_5yr_B25106011,ACS19_5yr_B25106012,ACS19_5yr_B25106013,ACS19_5yr_B25106014,ACS19_5yr_B25106015,ACS19_5yr_B25106016,ACS19_5yr_B25106017,ACS19_5yr_B25106018,ACS19_5yr_B25106019,ACS19_5yr_B25106020,ACS19_5yr_B25106021,ACS19_5yr_B25106022,ACS19_5yr_B25106023,ACS19_5yr_B25106024,ACS19_5yr_B25106025,ACS19_5yr_B25106026,ACS19_5yr_B25106027,ACS19_5yr_B25106028,ACS19_5yr_B25106029,ACS19_5yr_B25106030,ACS19_5yr_B25106031,ACS19_5yr_B25106032,ACS19_5yr_B25106033,ACS19_5yr_B25106034,ACS19_5yr_B25106035,ACS19_5yr_B25106036,ACS19_5yr_B25106037,ACS19_5yr_B25106038,ACS19_5yr_B25106039,ACS19_5yr_B25106040,ACS19_5yr_B25106041,ACS19_5yr_B25106042,ACS19_5yr_B25106043,ACS19_5yr_B25106044,ACS19_5yr_B25106045,ACS19_5yr_B25106046,ACS19_5yr_B25106001s,ACS19_5yr_B25106002s,ACS19_5yr_B25106003s,ACS19_5yr_B25106004s,ACS19_5yr_B25106005s,ACS19_5yr_B25106006s,ACS19_5yr_B25106007s,ACS19_5yr_B25106008s,ACS19_5yr_B25106009s,ACS19_5yr_B25106010s,ACS19_5yr_B25106011s,ACS19_5yr_B25106012s,ACS19_5yr_B25106013s,ACS19_5yr_B25106014s,ACS19_5yr_B25106015s,ACS19_5yr_B25106016s,ACS19_5yr_B25106017s,ACS19_5yr_B25106018s,ACS19_5yr_B25106019s,ACS19_5yr_B25106020s,ACS19_5yr_B25106021s,ACS19_5yr_B25106022s,ACS19_5yr_B25106023s,ACS19_5yr_B25106024s,ACS19_5yr_B25106025s,ACS19_5yr_B25106026s,ACS19_5yr_B25106027s,ACS19_5yr_B25106028s,ACS19_5yr_B25106029s,ACS19_5yr_B25106030s,ACS19_5yr_B25106031s,ACS19_5yr_B25106032s,ACS19_5yr_B25106033s,ACS19_5yr_B25106034s,ACS19_5yr_B25106035s,ACS19_5yr_B25106036s,ACS19_5yr_B25106037s,ACS19_5yr_B25106038s,ACS19_5yr_B25106039s,ACS19_5yr_B25106040s,ACS19_5yr_B25106041s,ACS19_5yr_B25106042s,ACS19_5yr_B25106043s,ACS19_5yr_B25106044s,ACS19_5yr_B25106045s,ACS19_5yr_B25106046s
6037980008,Census Tract 9800.08,"Census Tract 9800.08, Los Angeles County, California",ca,140,0,ACSSF,6195,,,,,6,37,,,,980008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037980008,,,3369326,0,,,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17,0,0,0,0,0,0,17.57576,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,17.57576,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,17.57576,7.272727,7.272727,17.57576,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727
6037980009,Census Tract 9800.09,"Census Tract 9800.09, Los Angeles County, California",ca,140,0,ACSSF,6196,,,,,6,37,,,,980009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037980009,,,20912226,356889,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727
6037980010,Census Tract 9800.10,"Census Tract 9800.10, Los Angeles County, California",ca,140,0,ACSSF,6197,,,,,6,37,,,,980010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037980010,,,3757605,76091,710,126.6666667,900,416.969697,56,24,4,0,0,4,3,0,0,3,5,0,0,5,0,0,0,0,8,8,0,0,4,32,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,6,10.90909,5.454545,3.636364,7.272727,7.272727,3.636364,3.636364,7.272727,7.272727,3.636364,4.242424,7.272727,7.272727,4.242424,7.272727,7.272727,7.272727,7.272727,4.848485,4.848485,7.272727,7.272727,3.636364,10.30303,9.090909,7.272727,7.272727,9.090909,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,3.636364,3.636364,7.272727,7.272727,7.272727,4.848485
6037980013,Census Tract 9800.13,"Census Tract 9800.13, Los Angeles County, California",ca,140,0,ACSSF,6198,,,,,6,37,,,,980013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037980013,,,5308531,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727
6037980014,Census Tract 9800.14,"Census Tract 9800.14, Los Angeles County, California",ca,140,0,ACSSF,6199,,,,,6,37,,,,980014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037980014,,,6478629,973260,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,4.242424,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,4.242424,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,4.242424,4.242424,7.272727,7.272727,7.272727,7.272727
6037980015,Census Tract 9800.15,"Census Tract 9800.15, Los Angeles County, California",ca,140,0,ACSSF,6200,,,,,6,37,,,,980015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037980015,,,5188935,220674,1058,81.81818182,1058,81.81818182,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,15,0,0,15,79,0,0,79,29,0,0,29,61,19,26,16,166,85,48,33,0,0,37.57576,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,37.57576,7.878788,7.272727,7.272727,7.878788,30.30303,7.272727,7.272727,30.30303,20,7.272727,7.272727,20,25.45455,13.93939,18.78788,15.15152,38.78788,35.15152,16.36364,16.36364,7.272727,7.272727
6037980018,Census Tract 9800.18,"Census Tract 9800.18, Los Angeles County, California",ca,140,0,ACSSF,6201,,,,,6,37,,,,980018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037980018,,,7389704,21307,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727
6037980019,Census Tract 9800.19,"Census Tract 9800.19, Los Angeles County, California",ca,140,0,ACSSF,6202,,,,,6,37,,,,980019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037980019,,,44210349,31076,3250,1198.787879,2188,1067.272727,65,53,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,48,35,9,4,0,12,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,10.30303,10.90909,7.272727,7.272727,7.272727,7.272727,4.242424,7.272727,4.242424,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,9.69697,9.090909,5.454545,3.636364,7.272727,6.060606,3.636364,7.272727,7.272727,3.636364,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,5.454545,5.454545,7.272727,7.272727,7.272727,7.272727
6037980020,Census Tract 9800.20,"Census Tract 9800.20, Los Angeles County, California",ca,140,0,ACSSF,6203,,,,,6,37,,,,980020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037980020,,,8532139,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727
6037980021,Census Tract 9800.21,"Census Tract 9800.21, Los Angeles County, California",ca,140,0,ACSSF,6204,,,,,6,37,,,,980021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037980021,,,6879980,65862,,,,,8,8,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.848485,4.848485,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,3.636364,7.272727,7.272727,3.636364,7.272727,7.272727,7.272727,7.272727,3.030303,7.272727,7.272727,3.030303,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727,7.272727
